Year,Industry,Employment_thousands
1976,Agriculture,1.1
1976,"Forestry, mining & energy",13.9
1976,Utilities,3.0
1976,Construction,14.7
1976,Manufacturing,18.0
1976,"Wholesale and retail trade [41, 44-",28.8
1976,Transport & warehousing,12.9
1976,Finance & real estate,4.8
1976,Professional services,2.3
1976,Business support,1.7
1976,Education,13.9
1976,Healthcare,17.3
1976,"Info, culture & rec",5.0
1976,Accommodation & food,5.1
1976,Other services,6.7
1976,Public admin,9.9
1976,Agriculture,5.7
1976,"Forestry, mining & energy",1.0
1976,Utilities,0.3
1976,Construction,4.2
1976,Manufacturing,2.8
1976,"Wholesale and retail trade [41, 44-",7.4
1976,Transport & warehousing,2.4
1976,Finance & real estate,1.2
1976,Professional services,0.7
1976,Business support,0.4
1976,Education,3.6
1976,Healthcare,4.3
1976,"Info, culture & rec",1.3
1976,Accommodation & food,2.3
1976,Other services,2.1
1976,Public admin,3.0
1976,Agriculture,7.8
1976,"Forestry, mining & energy",14.0
1976,Utilities,3.3
1976,Construction,23.3
1976,Manufacturing,40.0
1976,"Wholesale and retail trade [41, 44-",55.1
1976,Transport & warehousing,17.3
1976,Finance & real estate,13.1
1976,Professional services,5.7
1976,Business support,4.4
1976,Education,23.0
1976,Healthcare,26.9
1976,"Info, culture & rec",11.2
1976,Accommodation & food,13.1
1976,Other services,12.3
1976,Public admin,27.3
1976,Agriculture,5.8
1976,"Forestry, mining & energy",9.3
1976,Utilities,3.6
1976,Construction,22.8
1976,Manufacturing,34.3
1976,"Wholesale and retail trade [41, 44-",39.6
1976,Transport & warehousing,16.9
1976,Finance & real estate,9.9
1976,Professional services,4.5
1976,Business support,2.7
1976,Education,16.1
1976,Healthcare,18.9
1976,"Info, culture & rec",7.0
1976,Accommodation & food,8.5
1976,Other services,11.5
1976,Public admin,19.6
1976,Agriculture,70.8
1976,"Forestry, mining & energy",53.3
1976,Utilities,24.9
1976,Construction,155.9
1976,Manufacturing,589.4
1976,"Wholesale and retail trade [41, 44-",402.1
1976,Transport & warehousing,151.5
1976,Finance & real estate,124.1
1976,Professional services,66.3
1976,Business support,38.9
1976,Education,182.0
1976,Healthcare,207.6
1976,"Info, culture & rec",79.4
1976,Accommodation & food,111.1
1976,Other services,128.0
1976,Public admin,158.2
1976,Agriculture,111.6
1976,"Forestry, mining & energy",61.5
1976,Utilities,41.7
1976,Construction,243.5
1976,Manufacturing,868.3
1976,"Wholesale and retail trade [41, 44-",594.1
1976,Transport & warehousing,179.1
1976,Finance & real estate,225.4
1976,Professional services,101.9
1976,Business support,72.0
1976,Education,249.1
1976,Healthcare,303.1
1976,"Info, culture & rec",138.2
1976,Accommodation & food,146.8
1976,Other services,150.5
1976,Public admin,253.7
1976,Agriculture,36.1
1976,"Forestry, mining & energy",6.3
1976,Utilities,9.7
1976,Construction,27.2
1976,Manufacturing,56.0
1976,"Wholesale and retail trade [41, 44-",74.3
1976,Transport & warehousing,36.6
1976,Finance & real estate,22.3
1976,Professional services,7.3
1976,Business support,7.4
1976,Education,29.1
1976,Healthcare,40.5
1976,"Info, culture & rec",14.8
1976,Accommodation & food,17.9
1976,Other services,20.4
1976,Public admin,28.6
1976,Agriculture,96.6
1976,"Forestry, mining & energy",8.3
1976,Utilities,3.2
1976,Construction,25.5
1976,Manufacturing,21.7
1976,"Wholesale and retail trade [41, 44-",53.2
1976,Transport & warehousing,18.9
1976,Finance & real estate,13.9
1976,Professional services,8.1
1976,Business support,3.4
1976,Education,25.2
1976,Healthcare,31.5
1976,"Info, culture & rec",14.4
1976,Accommodation & food,15.0
1976,Other services,17.4
1976,Public admin,26.0
1976,Agriculture,110.8
1976,"Forestry, mining & energy",37.9
1976,Utilities,7.3
1976,Construction,78.8
1976,Manufacturing,71.6
1976,"Wholesale and retail trade [41, 44-",138.5
1976,Transport & warehousing,49.2
1976,Finance & real estate,45.3
1976,Professional services,24.6
1976,Business support,13.6
1976,Education,60.8
1976,Healthcare,63.7
1976,"Info, culture & rec",29.5
1976,Accommodation & food,32.9
1976,Other services,36.3
1976,Public admin,54.0
1976,Agriculture,17.6
1976,"Forestry, mining & energy",49.2
1976,Utilities,12.7
1976,Construction,85.6
1976,Manufacturing,158.7
1976,"Wholesale and retail trade [41, 44-",178.4
1976,Transport & warehousing,78.4
1976,Finance & real estate,66.1
1976,Professional services,31.2
1976,Business support,16.9
1976,Education,73.8
1976,Healthcare,79.8
1976,"Info, culture & rec",45.9
1976,Accommodation & food,60.7
1976,Other services,41.5
1976,Public admin,64.5
1977,Agriculture,1.5
1977,"Forestry, mining & energy",11.6
1977,Utilities,2.7
1977,Construction,14.3
1977,Manufacturing,18.3
1977,"Wholesale and retail trade [41, 44-",24.2
1977,Transport & warehousing,12.9
1977,Finance & real estate,5.8
1977,Professional services,2.9
1977,Business support,2.0
1977,Education,13.7
1977,Healthcare,19.0
1977,"Info, culture & rec",5.9
1977,Accommodation & food,6.3
1977,Other services,7.5
1977,Public admin,12.1
1977,Agriculture,5.6
1977,"Forestry, mining & energy",1.1
1977,Utilities,0.4
1977,Construction,4.6
1977,Manufacturing,3.0
1977,"Wholesale and retail trade [41, 44-",6.7
1977,Transport & warehousing,2.3
1977,Finance & real estate,1.5
1977,Professional services,0.7
1977,Business support,0.5
1977,Education,3.3
1977,Healthcare,4.1
1977,"Info, culture & rec",1.6
1977,Accommodation & food,2.3
1977,Other services,2.4
1977,Public admin,3.5
1977,Agriculture,7.2
1977,"Forestry, mining & energy",14.1
1977,Utilities,2.6
1977,Construction,22.3
1977,Manufacturing,40.1
1977,"Wholesale and retail trade [41, 44-",51.1
1977,Transport & warehousing,18.0
1977,Finance & real estate,14.0
1977,Professional services,6.1
1977,Business support,4.5
1977,Education,23.5
1977,Healthcare,27.0
1977,"Info, culture & rec",11.0
1977,Accommodation & food,13.4
1977,Other services,14.1
1977,Public admin,29.4
1977,Agriculture,4.9
1977,"Forestry, mining & energy",9.8
1977,Utilities,3.7
1977,Construction,19.8
1977,Manufacturing,33.6
1977,"Wholesale and retail trade [41, 44-",41.2
1977,Transport & warehousing,16.4
1977,Finance & real estate,10.7
1977,Professional services,3.3
1977,Business support,2.8
1977,Education,17.5
1977,Healthcare,19.3
1977,"Info, culture & rec",8.1
1977,Accommodation & food,9.4
1977,Other services,10.7
1977,Public admin,17.1
1977,Agriculture,64.3
1977,"Forestry, mining & energy",52.3
1977,Utilities,23.2
1977,Construction,158.8
1977,Manufacturing,563.6
1977,"Wholesale and retail trade [41, 44-",401.7
1977,Transport & warehousing,135.3
1977,Finance & real estate,144.2
1977,Professional services,66.3
1977,Business support,40.3
1977,Education,190.2
1977,Healthcare,214.8
1977,"Info, culture & rec",88.7
1977,Accommodation & food,116.4
1977,Other services,126.5
1977,Public admin,169.4
1977,Agriculture,116.5
1977,"Forestry, mining & energy",62.5
1977,Utilities,44.1
1977,Construction,236.2
1977,Manufacturing,877.1
1977,"Wholesale and retail trade [41, 44-",586.1
1977,Transport & warehousing,180.4
1977,Finance & real estate,235.7
1977,Professional services,118.6
1977,Business support,74.3
1977,Education,254.5
