Year,Province,Employment_thousands
1976,Newfoundland and Labrador,158.8
1976,Prince Edward Island,43.0
1976,Nova Scotia,297.9
1976,New Brunswick,231.1
1976,Quebec,2543.4
1976,Ontario,3740.7
1976,Manitoba,434.4
1976,Saskatchewan,382.3
1976,Alberta,854.9
1976,British Columbia,1060.9
1977,Newfoundland and Labrador,160.9
1977,Prince Edward Island,43.6
1977,Nova Scotia,298.3
1977,New Brunswick,228.3
1977,Quebec,2556.0
1977,Ontario,3803.9
1977,Manitoba,438.2
1977,Saskatchewan,395.4
1977,Alberta,903.7
1977,British Columbia,1089.1
1978,Newfoundland and Labrador,166.1
1978,Prince Edward Island,44.9
1978,Nova Scotia,306.0
1978,New Brunswick,239.3
1978,Quebec,2596.1
1978,Ontario,3923.6
1978,Manitoba,444.4
1978,Saskatchewan,403.2
1978,Alberta,959.2
1978,British Columbia,1137.5
1979,Newfoundland and Labrador,176.7
1979,Prince Edward Island,46.4
1979,Nova Scotia,317.3
1979,New Brunswick,250.1
1979,Quebec,2692.0
1979,Ontario,4092.8
1979,Manitoba,454.6
1979,Saskatchewan,416.1
1979,Alberta,1033.9
1979,British Columbia,1188.5
1980,Newfoundland and Labrador,182.6
1980,Prince Edward Island,47.8
1980,Nova Scotia,324.4
1980,New Brunswick,253.9
1980,Quebec,2756.2
1980,Ontario,4165.1
1980,Manitoba,462.0
1980,Saskatchewan,423.1
1980,Alberta,1102.5
1980,British Columbia,1266.4
1981,Newfoundland and Labrador,186.1
1981,Prince Edward Island,47.1
1981,Nova Scotia,328.3
1981,New Brunswick,257.7
1981,Quebec,2791.2
1981,Ontario,4292.5
1981,Manitoba,468.8
1981,Saskatchewan,430.9
1981,Alberta,1182.8
1981,British Columbia,1319.6
1982,Newfoundland and Labrador,180.8
1982,Prince Edward Island,46.6
1982,Nova Scotia,321.1
1982,New Brunswick,248.4
1982,Quebec,2640.1
1982,Ontario,4198.6
1982,Manitoba,460.3
1982,Saskatchewan,430.0
1982,Alberta,1164.3
1982,British Columbia,1253.4
1983,Newfoundland and Labrador,180.8
1983,Prince Edward Island,48.8
1983,Nova Scotia,324.8
1983,New Brunswick,251.3
1983,Quebec,2683.8
1983,Ontario,4249.0
1983,Manitoba,467.9
1983,Saskatchewan,436.9
1983,Alberta,1133.8
1983,British Columbia,1244.9
1984,Newfoundland and Labrador,179.0
1984,Prince Edward Island,49.5
1984,Nova Scotia,339.9
1984,New Brunswick,255.2
1984,Quebec,2762.5
1984,Ontario,4410.2
1984,Manitoba,479.1
1984,Saskatchewan,443.2
1984,Alberta,1138.1
1984,British Columbia,1245.1
1985,Newfoundland and Labrador,182.5
1985,Prince Edward Island,50.7
1985,Nova Scotia,343.7
1985,New Brunswick,262.0
1985,Quebec,2848.6
1985,Ontario,4576.6
1985,Manitoba,486.9
1985,Saskatchewan,453.6
1985,Alberta,1173.8
1985,British Columbia,1279.7
1986,Newfoundland and Labrador,187.1
1986,Prince Edward Island,52.3
1986,Nova Scotia,350.5
1986,New Brunswick,271.0
1986,Quebec,2933.5
1986,Ontario,4733.9
1986,Manitoba,500.7
1986,Saskatchewan,463.1
1986,Alberta,1184.5
1986,British Columbia,1331.8
1987,Newfoundland and Labrador,190.3
1987,Prince Edward Island,53.4
1987,Nova Scotia,359.0
1987,New Brunswick,280.3
1987,Quebec,3022.1
1987,Ontario,4895.6
1987,Manitoba,505.2
1987,Saskatchewan,461.9
1987,Alberta,1187.7
1987,British Columbia,1377.7
1988,Newfoundland and Labrador,199.7
1988,Prince Edward Island,54.6
1988,Nova Scotia,373.7
1988,New Brunswick,291.0
1988,Quebec,3081.4
1988,Ontario,5083.1
1988,Manitoba,506.3
1988,Saskatchewan,462.8
1988,Alberta,1222.3
1988,British Columbia,1434.6
1989,Newfoundland and Labrador,206.3
1989,Prince Edward Island,55.0
1989,Nova Scotia,381.6
1989,New Brunswick,296.8
1989,Quebec,3128.8
1989,Ontario,5199.0
1989,Manitoba,512.7
1989,Saskatchewan,456.4
1989,Alberta,1251.3
1989,British Columbia,1508.3
1990,Newfoundland and Labrador,206.9
1990,Prince Edward Island,55.1
1990,Nova Scotia,385.3
1990,New Brunswick,300.3
1990,Quebec,3140.3
1990,Ontario,5194.1
1990,Manitoba,513.8
1990,Saskatchewan,454.2
1990,Alberta,1276.8
1990,British Columbia,1559.6
1991,Newfoundland and Labrador,204.7
1991,Prince Edward Island,53.4
1991,Nova Scotia,380.6
1991,New Brunswick,295.2
1991,Quebec,3084.4
1991,Ontario,5017.1
1991,Manitoba,506.8
1991,Saskatchewan,453.3
1991,Alberta,1284.4
1991,British Columbia,1577.5
1992,Newfoundland and Labrador,194.9
1992,Prince Edward Island,53.7
1992,Nova Scotia,368.9
1992,New Brunswick,296.9
1992,Quebec,3038.6
1992,Ontario,4932.9
1992,Manitoba,499.9
1992,Saskatchewan,448.0
1992,Alberta,1280.0
1992,British Columbia,1617.2
1993,Newfoundland and Labrador,193.8
1993,Prince Edward Island,54.6
1993,Nova Scotia,366.5
1993,New Brunswick,299.9
1993,Quebec,3030.9
1993,Ontario,4938.0
1993,Manitoba,503.8
1993,Saskatchewan,448.5
1993,Alberta,1288.7
1993,British Columbia,1668.0
1994,Newfoundland and Labrador,193.5
1994,Prince Edward Island,55.7
1994,Nova Scotia,372.6
1994,New Brunswick,298.6
1994,Quebec,3094.8
1994,Ontario,5013.6
1994,Manitoba,507.7
1994,Saskatchewan,454.5
1994,Alberta,1324.5
1994,British Columbia,1743.2
1995,Newfoundland and Labrador,194.4
1995,Prince Edward Island,57.2
1995,Nova Scotia,375.9
1995,New Brunswick,307.5
1995,Quebec,3135.3
1995,Ontario,5100.0
1995,Manitoba,516.5
1995,Saskatchewan,458.0
1995,Alberta,1364.9
1995,British Columbia,1785.6
1996,Newfoundland and Labrador,188.8
1996,Prince Edward Island,58.8
1996,Nova Scotia,376.8
1996,New Brunswick,305.8
1996,Quebec,3132.7
1996,Ontario,5165.9
1996,Manitoba,517.7
1996,Saskatchewan,454.6
1996,Alberta,1405.6
1996,British Columbia,1813.4
1997,Newfoundland and Labrador,189.6
1997,Prince Edward Island,58.6
1997,Nova Scotia,382.3
1997,New Brunswick,310.1
1997,Quebec,3174.5
1997,Ontario,5290.7
1997,Manitoba,524.9
1997,Saskatchewan,464.4
1997,Alberta,1453.2
1997,British Columbia,1859.9
1998,Newfoundland and Labrador,193.7
1998,Prince Edward Island,59.6
1998,Nova Scotia,395.9
1998,New Brunswick,316.1
1998,Quebec,3257.7
1998,Ontario,5453.9
1998,Manitoba,534.8
1998,Saskatchewan,468.7
1998,Alberta,1508.9
1998,British Columbia,1857.7
1999,Newfoundland and Labrador,201.9
1999,Prince Edward Island,60.3
1999,Nova Scotia,403.7
1999,New Brunswick,325.7
1999,Quebec,3326.6
1999,Ontario,5635.3
1999,Manitoba,541.8
1999,Saskatchewan,469.6
1999,Alberta,1543.2
1999,British Columbia,1893.7
2000,Newfoundland and Labrador,198.8
2000,Prince Edward Island,62.8
2000,Nova Scotia,411.7
2000,New Brunswick,331.6
2000,Quebec,3401.5
2000,Ontario,5814.9
2000,Manitoba,552.2
2000,Saskatchewan,472.9
2000,Alberta,1583.1
2000,British Columbia,1930.8
2001,Newfoundland and Labrador,203.7
2001,Prince Edward Island,63.8
2001,Nova Scotia,415.4
2001,New Brunswick,330.0
2001,Quebec,3441.3
2001,Ontario,5921.3
2001,Manitoba,549.9
2001,Saskatchewan,458.6
2001,Alberta,1627.4
2001,British Columbia,1920.9
2002,Newfoundland and Labrador,206.5
2002,Prince Edward Island,64.7
2002,Nova Scotia,422.5
2002,New Brunswick,341.9
2002,Quebec,3564.3
2002,Ontario,6034.2
2002,Manitoba,563.3
2002,Saskatchewan,467.7
2002,Alberta,1673.8
2002,British Columbia,1952.4
2003,Newfoundland and Labrador,210.7
2003,Prince Edward Island,66.1
2003,Nova Scotia,431.3
2003,New Brunswick,341.7
2003,Quebec,3628.8
2003,Ontario,6212.9
2003,Manitoba,566.5
2003,Saskatchewan,475.9
2003,Alberta,1729.0
2003,British Columbia,1998.1
2004,Newfoundland and Labrador,213.2
2004,Prince Edward Island,66.6
2004,Nova Scotia,441.7
2004,New Brunswick,348.1
2004,Quebec,3675.8
2004,Ontario,6314.3
2004,Manitoba,572.6
2004,Saskatchewan,479.8
